", 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
07:57:27 AM       tps      rtps      wtps   bread/s   bwrtn/s;;;;;;;;7:57:27;AM;tps;rtps;wtps;bread/s;bwrtn/s
08:26:27 AM      1,40      0,00      1,40      0,00     32,80;;;;;;;;8:26:27;AM;1,4;0;1,4;0;32,8
08:26:37 AM      1,90      0,00      1,90      0,00     30,40;;;;;;;;8:26:37;AM;1,9;0;1,9;0;30,4
08:26:47 AM      2,20      0,00      2,20      0,00     46,40;;;;;;;;8:26:47;AM;2,2;0;2,2;0;46,4
08:26:57 AM      3,10      0,00      3,10      0,00     52,80;;;;;;;;8:26:57;AM;3,1;0;3,1;0;52,8
08:27:07 AM      4,80      0,00      4,80      0,00     67,20;;;;;;;;8:27:07;AM;4,8;0;4,8;0;67,2
08:27:17 AM      3,30      0,00      3,30      0,00     52,80;;;;;;;;8:27:17;AM;3,3;0;3,3;0;52,8
08:27:27 AM      1,90      0,70      1,20      5,60     20,80;;;;;;;;8:27:27;AM;1,9;0,7;1,2;5,6;20,8
08:27:37 AM      1,30      0,00      1,30      0,00     36,00;;;;;;;;8:27:37;AM;1,3;0;1,3;0;36
08:27:47 AM      3,40      0,00      3,40      0,00     53,60;;;;;;;;8:27:47;AM;3,4;0;3,4;0;53,6
08:27:57 AM      2,00      0,00      2,00      0,00     42,40;;;;;;;;8:27:57;AM;2;0;2;0;42,4
08:28:07 AM      1,90      0,00      1,90      0,00     44,80;;;;;;;;8:28:07;AM;1,9;0;1,9;0;44,8
08:28:17 AM      2,90      0,00      2,90      0,00     65,60;;;;;;;;8:28:17;AM;2,9;0;2,9;0;65,6
08:28:27 AM      4,00      0,00      4,00      0,00     64,00;;;;;;;;8:28:27;AM;4;0;4;0;64
08:28:37 AM      1,70      0,00      1,70      0,00     37,60;;;;;;;;8:28:37;AM;1,7;0;1,7;0;37,6
08:28:47 AM      1,20      0,00      1,20      0,00     28,00;;;;;;;;8:28:47;AM;1,2;0;1,2;0;28
08:28:57 AM      1,90      0,00      1,90      0,00     36,00;;;;;;;;8:28:57;AM;1,9;0;1,9;0;36
