"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
07:57:13 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked;;;;;;;;;7:57:13;AM;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
08:28:53 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:28:53;AM;0;393;0;0,01;0,05;0
08:29:03 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:29:03;AM;0;393;0;0,01;0,05;0
08:29:13 AM         0       393      0,08      0,03      0,05         0;;;;;;;;;8:29:13;AM;0;393;0,08;0,03;0,05;0
08:29:23 AM         1       393      0,06      0,03      0,05         0;;;;;;;;;8:29:23;AM;1;393;0,06;0,03;0,05;0
08:29:33 AM         0       393      0,05      0,03      0,05         0;;;;;;;;;8:29:33;AM;0;393;0,05;0,03;0,05;0
08:29:43 AM         0       393      0,05      0,03      0,05         0;;;;;;;;;8:29:43;AM;0;393;0,05;0,03;0,05;0
08:29:53 AM         1       393      0,04      0,03      0,05         0;;;;;;;;;8:29:53;AM;1;393;0,04;0,03;0,05;0
08:30:03 AM         0       393      0,03      0,03      0,05         0;;;;;;;;;8:30:03;AM;0;393;0,03;0,03;0,05;0
08:30:13 AM         0       393      0,03      0,02      0,05         0;;;;;;;;;8:30:13;AM;0;393;0,03;0,02;0,05;0
08:30:23 AM         0       393      0,02      0,02      0,05         0;;;;;;;;;8:30:23;AM;0;393;0,02;0,02;0,05;0
08:30:33 AM         0       393      0,02      0,02      0,05         0;;;;;;;;;8:30:33;AM;0;393;0,02;0,02;0,05;0
08:30:43 AM         1       393      0,02      0,02      0,05         0;;;;;;;;;8:30:43;AM;1;393;0,02;0,02;0,05;0
08:30:53 AM         0       393      0,01      0,02      0,05         0;;;;;;;;;8:30:53;AM;0;393;0,01;0,02;0,05;0
08:31:03 AM         0       393      0,01      0,02      0,05         0;;;;;;;;;8:31:03;AM;0;393;0,01;0,02;0,05;0
08:31:13 AM         0       395      0,01      0,02      0,05         0;;;;;;;;;8:31:13;AM;0;395;0,01;0,02;0,05;0
08:31:23 AM         0       393      0,01      0,02      0,05         0;;;;;;;;;8:31:23;AM;0;393;0,01;0,02;0,05;0
08:31:33 AM         1       393      0,01      0,02      0,05         0;;;;;;;;;8:31:33;AM;1;393;0,01;0,02;0,05;0
08:31:43 AM         0       394      0,01      0,02      0,05         0;;;;;;;;;8:31:43;AM;0;394;0,01;0,02;0,05;0
08:31:53 AM         0       393      0,01      0,02      0,05         0;;;;;;;;;8:31:53;AM;0;393;0,01;0,02;0,05;0
08:32:03 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:32:03;AM;1;393;0;0,01;0,05;0
08:32:13 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:32:13;AM;0;393;0;0,01;0,05;0
08:32:23 AM         1       393      0,00      0,01      0,05         0;;;;;;;;;8:32:23;AM;1;393;0;0,01;0,05;0
08:32:33 AM         0       393      0,00      0,01      0,05         0;;;;;;;;;8:32:33;AM;0;393;0;0,01;0,05;0
