"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
07:57:16 AM kbswpfree kbswpused  %swpused  kbswpcad   %swpcad;;;;;;;;;7:57:16;AM;kbswpfree;kbswpused;%swpused;kbswpcad;%swpcad
08:29:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:29:26;AM;0;0;0;0;0
08:29:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:29:36;AM;0;0;0;0;0
08:29:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:29:46;AM;0;0;0;0;0
08:29:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:29:56;AM;0;0;0;0;0
08:30:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:30:06;AM;0;0;0;0;0
08:30:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:30:16;AM;0;0;0;0;0
08:30:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:30:26;AM;0;0;0;0;0
08:30:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:30:36;AM;0;0;0;0;0
08:30:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:30:46;AM;0;0;0;0;0
08:30:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:30:56;AM;0;0;0;0;0
08:31:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:31:06;AM;0;0;0;0;0
08:31:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:31:16;AM;0;0;0;0;0
08:31:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:31:26;AM;0;0;0;0;0
08:31:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:31:36;AM;0;0;0;0;0
08:31:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:31:46;AM;0;0;0;0;0
08:31:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:31:56;AM;0;0;0;0;0
08:32:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:32:06;AM;0;0;0;0;0
08:32:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:32:16;AM;0;0;0;0;0
08:32:26 AM         0         0      0,00         0      0,00;;;;;;;;;8:32:26;AM;0;0;0;0;0
08:32:36 AM         0         0      0,00         0      0,00;;;;;;;;;8:32:36;AM;0;0;0;0;0
08:32:46 AM         0         0      0,00         0      0,00;;;;;;;;;8:32:46;AM;0;0;0;0;0
08:32:56 AM         0         0      0,00         0      0,00;;;;;;;;;8:32:56;AM;0;0;0;0;0
08:33:06 AM         0         0      0,00         0      0,00;;;;;;;;;8:33:06;AM;0;0;0;0;0
08:33:16 AM         0         0      0,00         0      0,00;;;;;;;;;8:33:16;AM;0;0;0;0;0
