"Linux 3,10,0-1160,76,1,el7,x86_64 (lt-uxcrowd,ru) 	05/07/2024 	_x86_64_	(6 CPU)";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
07:57:21 AM kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty;;;;;;;;;;;;;7:57:21;AM;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
08:11:31 AM   1543500   6446520     80,68    179172   4695892   2864076     35,85   5066888    951484       128;;;;;;;;;;;;;8:11:31;AM;1543500;6446520;80,68;179172;4695892;2864076;35,85;5066888;951484;128
08:11:41 AM   1543516   6446504     80,68    179172   4695896   2863840     35,84   5066880    951484       100;;;;;;;;;;;;;8:11:41;AM;1543516;6446504;80,68;179172;4695896;2863840;35,84;5066880;951484;100
08:11:51 AM   1543856   6446164     80,68    179172   4695904   2863056     35,83   5066488    951480       116;;;;;;;;;;;;;8:11:51;AM;1543856;6446164;80,68;179172;4695904;2863056;35,83;5066488;951480;116
08:12:01 AM   1543244   6446776     80,69    179172   4695908   2863956     35,84   5067040    951480       108;;;;;;;;;;;;;8:12:01;AM;1543244;6446776;80,69;179172;4695908;2863956;35,84;5067040;951480;108
08:12:11 AM   1543444   6446576     80,68    179172   4695912   2863700     35,84   5066980    951480       120;;;;;;;;;;;;;8:12:11;AM;1543444;6446576;80,68;179172;4695912;2863700;35,84;5066980;951480;120
08:12:21 AM   1543412   6446608     80,68    179172   4695916   2863700     35,84   5066896    951480        96;;;;;;;;;;;;;8:12:21;AM;1543412;6446608;80,68;179172;4695916;2863700;35,84;5066896;951480;96
08:12:31 AM   1542864   6447156     80,69    179172   4695924   2864052     35,85   5067880    951480       104;;;;;;;;;;;;;8:12:31;AM;1542864;6447156;80,69;179172;4695924;2864052;35,85;5067880;951480;104
08:12:41 AM   1542816   6447204     80,69    179172   4695928   2863800     35,84   5068144    951480        88;;;;;;;;;;;;;8:12:41;AM;1542816;6447204;80,69;179172;4695928;2863800;35,84;5068144;951480;88
08:12:51 AM   1542800   6447220     80,69    179172   4695940   2863800     35,84   5068188    951484        84;;;;;;;;;;;;;8:12:51;AM;1542800;6447220;80,69;179172;4695940;2863800;35,84;5068188;951484;84
08:13:01 AM   1542452   6447568     80,70    179172   4695948   2863800     35,84   5066840    951480       128;;;;;;;;;;;;;8:13:01;AM;1542452;6447568;80,7;179172;4695948;2863800;35,84;5066840;951480;128
08:13:11 AM   1542516   6447504     80,69    179172   4695952   2863800     35,84   5066844    951480       132;;;;;;;;;;;;;8:13:11;AM;1542516;6447504;80,69;179172;4695952;2863800;35,84;5066844;951480;132
08:13:21 AM   1542516   6447504     80,69    179172   4695956   2863800     35,84   5066848    951480       152;;;;;;;;;;;;;8:13:21;AM;1542516;6447504;80,69;179172;4695956;2863800;35,84;5066848;951480;152
08:13:31 AM   1542344   6447676     80,70    179172   4695968   2864040     35,85   5066976    951484       104;;;;;;;;;;;;;8:13:31;AM;1542344;6447676;80,7;179172;4695968;2864040;35,85;5066976;951484;104
08:13:41 AM   1541880   6448140     80,70    179172   4695972   2864040     35,85   5067656    951480       100;;;;;;;;;;;;;8:13:41;AM;1541880;6448140;80,7;179172;4695972;2864040;35,85;5067656;951480;100
08:13:51 AM   1541880   6448140     80,70    179172   4695984   2864040     35,85   5067716    951484       112;;;;;;;;;;;;;8:13:51;AM;1541880;6448140;80,7;179172;4695984;2864040;35,85;5067716;951484;112
08:14:01 AM   1541724   6448296     80,70    179172   4695988   2863804     35,84   5067036    951520        40;;;;;;;;;;;;;8:14:01;AM;1541724;6448296;80,7;179172;4695988;2863804;35,84;5067036;951520;40
08:14:11 AM   1541832   6448188     80,70    179172   4695996   2863804     35,84   5067176    951480       132;;;;;;;;;;;;;8:14:11;AM;1541832;6448188;80,7;179172;4695996;2863804;35,84;5067176;951480;132
08:14:21 AM   1541800   6448220     80,70    179172   4696000   2863804     35,84   5067232    951480       128;;;;;;;;;;;;;8:14:21;AM;1541800;6448220;80,7;179172;4696000;2863804;35,84;5067232;951480;128
08:14:31 AM   1541560   6448460     80,71    179172   4696004   2863804     35,84   5067316    951480       132;;;;;;;;;;;;;8:14:31;AM;1541560;6448460;80,71;179172;4696004;2863804;35,84;5067316;951480;132
08:14:41 AM   1541560   6448460     80,71    179172   4696008   2863804     35,84   5067504    951480       108;;;;;;;;;;;;;8:14:41;AM;1541560;6448460;80,71;179172;4696008;2863804;35,84;5067504;951480;108
08:14:51 AM   1541576   6448444     80,71    179172   4696020   2863804     35,84   5067524    951480       128;;;;;;;;;;;;;8:14:51;AM;1541576;6448444;80,71;179172;4696020;2863804;35,84;5067524;951480;128
08:15:01 AM   1541792   6448228     80,70    179172   4696024   2863804     35,84   5067256    951480       124;;;;;;;;;;;;;8:15:01;AM;1541792;6448228;80,7;179172;4696024;2863804;35,84;5067256;951480;124
08:15:11 AM   1541776   6448244     80,70    179172   4696028   2863804     35,84   5067348    951480       104;;;;;;;;;;;;;8:15:11;AM;1541776;6448244;80,7;179172;4696028;2863804;35,84;5067348;951480;104
08:15:21 AM   1541792   6448228     80,70    179172   4696032   2863804     35,84   5067384    951480       100;;;;;;;;;;;;;8:15:21;AM;1541792;6448228;80,7;179172;4696032;2863804;35,84;5067384;951480;100
08:15:31 AM   1541768   6448252     80,70    179172   4696048   2863804     35,84   5067480    951484       120;;;;;;;;;;;;;8:15:31;AM;1541768;6448252;80,7;179172;4696048;2863804;35,84;5067480;951484;120
08:15:41 AM   1541816   6448204     80,70    179172   4696056   2864040     35,85   5067604    951480       116;;;;;;;;;;;;;8:15:41;AM;1541816;6448204;80,7;179172;4696056;2864040;35,85;5067604;951480;116
08:15:51 AM   1542848   6447172     80,69    179172   4696068   2863432     35,84   5067328    951484       132;;;;;;;;;;;;;8:15:51;AM;1542848;6447172;80,69;179172;4696068;2863432;35,84;5067328;951484;132
08:16:01 AM   1542420   6447600     80,70    179172   4696076   2863676     35,84   5067380    951484       124;;;;;;;;;;;;;8:16:01;AM;1542420;6447600;80,7;179172;4696076;2863676;35,84;5067380;951484;124
08:16:11 AM   1542080   6447940     80,70    179172   4696080   2863676     35,84   5068316    951480       140;;;;;;;;;;;;;8:16:11;AM;1542080;6447940;80,7;179172;4696080;2863676;35,84;5068316;951480;140
08:16:21 AM   1542096   6447924     80,70    179172   4696084   2863676     35,84   5068320    951480        64;;;;;;;;;;;;;8:16:21;AM;1542096;6447924;80,7;179172;4696084;2863676;35,84;5068320;951480;64
08:16:31 AM   1542308   6447712     80,70    179172   4696088   2863676     35,84   5067156    951480       108;;;;;;;;;;;;;8:16:31;AM;1542308;6447712;80,7;179172;4696088;2863676;35,84;5067156;951480;108
08:16:41 AM   1542276   6447744     80,70    179172   4696096   2863812     35,84   5067172    951480        96;;;;;;;;;;;;;8:16:41;AM;1542276;6447744;80,7;179172;4696096;2863812;35,84;5067172;951480;96
08:16:51 AM   1542184   6447836     80,70    179172   4696100   2863812     35,84   5067180    951480        48;;;;;;;;;;;;;8:16:51;AM;1542184;6447836;80,7;179172;4696100;2863812;35,84;5067180;951480;48
08:17:01 AM   1542284   6447736     80,70    179172   4696116   2864024     35,85   5067156    951484       108;;;;;;;;;;;;;8:17:01;AM;1542284;6447736;80,7;179172;4696116;2864024;35,85;5067156;951484;108
08:17:11 AM   1542036   6447984     80,70    179172   4696124   2864024     35,85   5067536    951480       120;;;;;;;;;;;;;8:17:11;AM;1542036;6447984;80,7;179172;4696124;2864024;35,85;5067536;951480;120
08:17:21 AM   1542004   6448016     80,70    179172   4696128   2864024     35,85   5067540    951480       112;;;;;;;;;;;;;8:17:21;AM;1542004;6448016;80,7;179172;4696128;2864024;35,85;5067540;951480;112
08:17:31 AM   1543104   6446916     80,69    179172   4696132   2863788     35,84   5066416    951480        96;;;;;;;;;;;;;8:17:31;AM;1543104;6446916;80,69;179172;4696132;2863788;35,84;5066416;951480;96
08:17:41 AM   1543036   6446984     80,69    179172   4696140   2863212     35,83   5067008    951508        96;;;;;;;;;;;;;8:17:41;AM;1543036;6446984;80,69;179172;4696140;2863212;35,83;5067008;951508;96
